"id";"empresa_id";"usuario_apertura_id";"fecha_apertura";"importe_apertura";"apertura_sugerido";"comentario_apertura";"is_pintar_apertura";"usuario_cierre_id";"fecha_cierre";"importe_cierre";"cierre_sugerido";"visa";"is_pintar_visa";"traslado";"deposito";"is_pintar_deposito";"comentario_cierre";"is_pintar_cierre";"estado";"usuario_creacion";"fecha_creacion"
13;3;10;"2018-01-05 10:53:09";210.0;0.0;"";1;10;"2018-01-06 18:56:23";298.5;298.5;0.0;1;0.0;0.0;0;"CAJA A PRUEBA ";0;1;10;"2018-01-05 10:53:09"
14;3;10;"2018-01-06 18:57:04";210.0;298.5;"";1;10;"2018-01-06 18:58:01";210.0;210.0;0.0;0;0.0;0.0;0;"";0;1;10;"2018-01-06 18:57:04"
15;3;8;"2018-01-06 18:59:57";210.0;210.0;"";0;8;"2018-01-06 19:07:05";210.0;210.0;0.0;0;0.0;0.0;0;"";0;1;8;"2018-01-06 18:59:57"
16;5;12;"2018-01-10 10:39:16";152.5;0.0;"Carga inicial";1;12;"2018-01-10 11:55:57";150.0;198.0;0.0;0;45.0;0.0;0;"";1;1;12;"2018-01-10 10:39:16"
17;5;12;"2018-01-10 13:26:34";152.5;150.0;"Estamos practicando y la caja chica es 152.50 ";1;12;"2018-01-10 14:05:03";152.5;152.5;0.0;0;0.0;0.0;0;"no ventass";0;1;12;"2018-01-10 13:26:34"
18;5;11;"2018-01-10 14:11:19";152.5;152.5;"Segundo turno :) ";0;11;"2018-01-10 21:49:33";215.0;215.0;0.0;0;0.0;50.0;0;"Faltó cambio de 0.50 por eso envío S/0.50 demás y en caja chica quedaría S/.152.00";0;1;11;"2018-01-10 14:11:19"
19;5;12;"2018-01-11 10:15:31";215.0;215.0;"";0;12;"2018-01-11 10:16:18";215.0;215.0;0.0;0;0.0;0.0;0;"";0;1;12;"2018-01-11 10:15:31"
20;5;12;"2018-01-11 10:17:29";152.0;215.0;"no entiendo porque te sale 215 de caja chica :O ay maferrrr :( Solo hay 152 soles en el anterior apertura me equivoque :/";1;12;"2018-01-11 14:03:38";152.0;152.0;0.0;0;25.5;0.0;0;"hice en ventas 25.50 y dejo en caja chica 152 soles :)";0;1;12;"2018-01-11 10:17:29"
21;5;11;"2018-01-11 14:10:01";152.5;152.0;"";1;11;"2018-01-11 21:48:56";152.5;152.5;0.0;0;86.5;70.0;0;"NO PUDE INGRESAR A LAS VENTAS (5 frap. med. V. Oreo S/.42.50) y (1 frap gran. V.Oreo S/.10.00)
TOTAL DE EFECTIVO S/.139.00";0;1;11;"2018-01-11 14:10:01"
22;5;12;"2018-01-12 10:07:40";152.5;152.5;"caja chica completa=152.50 soles";0;12;"2018-01-12 14:03:06";152.5;152.5;0.0;0;40.0;0.0;0;"falto poner un deposito de 2 packs de regalo de 3 o sea 50 soles. Porque no habia el item pack de 3";0;1;12;"2018-01-12 10:07:40"
