id,codigo,valor,tipo,estado,fecha_creacion
1,A,0.125000,1,1,"2015-09-12 17:00:28"
2,B,0.187500,1,1,"2015-09-12 17:00:56"
3,C,0.250000,1,1,"2015-09-12 17:03:22"
4,D,0.312500,1,1,"2015-09-12 17:03:22"
5,E,0.375000,1,1,"2015-09-12 17:03:22"
6,F,0.437500,1,1,"2015-09-12 17:03:22"
7,G,0.500000,1,1,"2015-09-12 17:03:22"
8,H,0.562500,1,1,"2015-09-12 17:03:22"
9,I,0.625000,1,1,"2015-09-12 17:03:22"
10,J,0.687500,1,1,"2015-09-12 17:03:22"
11,K,0.750000,1,1,"2015-09-12 17:03:22"
12,L,0.812500,1,1,"2015-09-12 17:03:22"
13,M,0.875000,1,1,"2015-09-12 17:03:22"
14,Z,0.937500,1,1,"2015-09-12 17:03:22"
15,X,0.000000,1,1,"2015-09-12 17:03:22"
16,2GT,1.370240,2,1,"2015-09-12 17:10:32"
17,3GT,1.970300,2,1,"2015-09-12 17:10:32"
18,4GT,2.607490,2,1,"2015-09-12 17:10:32"
19,1KT,1.204740,2,1,"2015-09-12 17:10:32"
20,2KT,2.071550,2,1,"2015-09-12 17:10:32"
21,3KT,2.804480,2,1,"2015-09-12 17:10:32"
22,3GL,1.475330,2,1,"2015-09-12 17:10:32"
23,4GL,1.935100,2,1,"2015-09-12 17:10:32"
24,3KD,1.740800,2,1,"2015-09-12 17:10:32"
25,4KD,1.935100,2,1,"2015-09-12 17:10:32"
26,2GV,1.465600,2,1,"2015-09-12 17:10:32"
27,3GV,2.169090,2,1,"2015-09-12 17:10:32"
28,4GV,2.931200,2,1,"2015-09-12 17:10:32"
29,5GV,3.664000,2,1,"2015-09-12 17:10:32"
30,6GV,4.338180,2,1,"2015-09-12 17:10:32"
31,7GV,5.061180,2,1,"2015-09-12 17:10:32"
32,8GV,5.784220,2,1,"2015-09-12 17:10:32"
33,2KV,1.868160,2,1,"2015-09-12 17:10:32"
34,3KV,2.733820,2,1,"2015-09-12 17:10:32"
35,4KV,3.736320,2,1,"2015-09-12 17:10:32"
36,5KV,4.670400,2,1,"2015-09-12 17:10:32"
37,6KV,5.604480,2,1,"2015-09-12 17:10:32"
