id,codigo,bien_id,cantidad_fabricado,otros_costos,estado,fecha_creacion,usuario_creacion
22,P0137.R1,199,1,0.000000,1,"2016-10-21 12:00:33",1
23,P0138.R1,200,1,0.000000,1,"2016-10-21 13:03:00",1
26,P0141.R1,203,1,0.000000,1,"2016-10-21 13:59:10",1
27,P0142.R1,204,1,0.000000,1,"2016-10-21 14:44:26",1
28,P0143.R1,205,1,0.000000,1,"2016-10-21 14:54:43",1
29,P0144.R1,206,1,0.000000,1,"2016-10-21 14:59:43",1
47,BI001.R1,190,1,0.000000,1,"2016-10-31 10:30:22",1
48,P0143.R1,213,1,0.000000,1,"2016-10-31 10:37:38",1
49,P0144.R1,214,1,0.000000,1,"2016-10-31 10:43:52",1
51,FG0009.R1,166,1,0.000000,1,"2016-11-11 15:12:33",1
56,P0148.R1,218,1,0.000000,1,"2017-02-07 19:03:43",1
57,P0149.R1,219,1,0.000000,1,"2017-02-08 09:13:19",1
58,P0150.R1,220,1,0.000000,1,"2017-02-08 09:33:42",1
59,CS0056.R1,117,1,0.000000,1,"2017-02-16 09:19:26",1
60,P0145.R2,215,1,0.000000,1,"2017-02-16 12:35:35",1
61,P0148.R1,221,1,0.000000,1,"2017-02-16 16:26:02",1
64,CS0052.R1,113,1,0.000000,1,"2017-02-27 11:14:33",1
66,FG0010.R1,167,1,0.000000,1,"2017-03-02 10:23:56",1
74,TE005.R1,229,1,0.000000,1,"2017-05-11 11:15:58",1
77,TC0003.R1,232,1,0.000000,1,"2017-05-11 11:55:48",1
86,TP0002.R1,241,1,0.000000,1,"2017-05-11 12:16:03",1
87,CP0002.R1,242,1,0.000000,1,"2017-05-11 12:23:00",1
88,CP003.R1,243,1,0.000000,1,"2017-05-11 12:23:59",1
89,CP0004.R1,244,1,0.000000,1,"2017-05-11 12:24:44",1
90,P0169.R1,245,1,0.000000,1,"2017-05-11 12:25:46",1
91,P0170.R1,246,1,0.000000,1,"2017-05-11 12:29:06",1
92,P0171.R1,247,1,0.000000,1,"2017-05-11 12:34:17",1
93,FM0003.R1,152,1,0.000000,1,"2017-05-11 16:35:22",1
94,FG0003.R1,160,1,0.000000,1,"2017-05-11 17:06:29",1
95,FG0012.R1,169,1,0.000000,1,"2017-05-11 18:02:24",1
96,FG0015.R1,255,1,0.000000,1,"2017-05-11 18:05:53",1
97,FG0014.R1,256,1,0.000000,1,"2017-05-11 18:08:23",1
98,FG0011.R1,168,1,0.000000,1,"2017-05-11 18:11:21",1
99,P0174.R1,257,1,0.000000,1,"2017-05-11 18:36:49",1
100,P0175.R1,259,1,0.000000,1,"2017-05-11 18:49:29",1
101,FI0002.R1,260,1,0.000000,1,"2017-05-11 18:51:58",1
102,P0177.R1,261,1,0.000000,1,"2017-05-11 18:57:22",1
105,CF0005.R1,264,1,0.000000,1,"2017-05-11 19:01:14",1
108,FG00013.R1,267,1,0.000000,1,"2017-05-12 15:48:17",1
112,P0184.R1,282,1,0.000000,1,"2017-06-01 10:56:48",1
121,CS0059.R1,307,1,0.000000,1,"2018-01-10 12:59:04",1
164,P0099.R1,326,1,0.000000,1,"2018-02-02 10:48:46",9
173,CS0005.R1,335,1,0.000000,1,"2018-02-02 22:51:48",9
175,CS0013.R1,75,1,0.000000,1,"2018-02-02 22:57:20",9
176,CS0014.R1,76,1,0.000000,1,"2018-02-02 22:58:28",9
177,CS0015.R1,77,1,0.000000,1,"2018-02-02 23:01:30",9
178,CS0016.R2,78,1,0.000000,1,"2018-02-02 23:02:11",9
179,CS0017.R1,79,1,0.000000,1,"2018-02-02 23:03:00",9
180,CS0018.R1,80,1,0.000000,1,"2018-02-02 23:03:36",9
181,CS0021.R1,82,1,0.000000,1,"2018-02-02 23:05:16",9
182,CS0022.R1,83,1,0.000000,1,"2018-02-02 23:05:56",9
183,CS0023.R1,84,1,0.000000,1,"2018-02-02 23:06:30",9
184,CS0024.R1,85,1,0.000000,1,"2018-02-02 23:07:30",9
185,CS0026.R1,87,1,0.000000,1,"2018-02-02 23:08:53",9
186,CS0027.R1,88,1,0.000000,1,"2018-02-02 23:09:32",9
187,CS0028.R1,89,1,0.000000,1,"2018-02-02 23:10:10",9
188,CS0029.R1,90,1,0.000000,1,"2018-02-02 23:11:00",9
189,CS0030.R1,91,1,0.000000,1,"2018-02-02 23:11:38",9
190,CS0031.R1,92,1,0.000000,1,"2018-02-02 23:12:36",9
191,CS0032.R1,93,1,0.000000,1,"2018-02-02 23:13:35",9
192,CS0033.R1,94,1,0.000000,1,"2018-02-02 23:14:07",9
193,CS0034.R1,95,1,0.000000,1,"2018-02-02 23:15:15",9
194,CS0035.R1,96,1,0.000000,1,"2018-02-02 23:16:16",9
195,CS0036.R1,97,1,0.000000,1,"2018-02-02 23:16:52",9
196,CS0037.R1,98,1,0.000000,1,"2018-02-02 23:17:26",9
197,CS0038.R1,99,1,0.000000,1,"2018-02-02 23:18:13",9
198,CS0039.R1,100,1,0.000000,1,"2018-02-02 23:18:46",9
199,CS0040.R1,101,1,0.000000,1,"2018-02-02 23:19:27",9
200,CS0041.R1,102,1,0.000000,1,"2018-02-02 23:20:25",9
201,CS0042.R1,103,1,0.000000,1,"2018-02-02 23:21:09",9
