id,bien_tipo_padre_id,codigo,descripcion,comentario,sunat_tabla_detalle_id,sunat_tabla_detalle_id2,indicador,estado,fecha_creacion,usuario_creacion,indicador_ventas,stock_control
-2,NULL,T001,"ACTIVO FIJO",NULL,NULL,NULL,0,1,"2015-11-19 16:15:25",1,0,1
-1,NULL,T002,SERVICIO,NULL,NULL,NULL,0,1,"2015-09-15 09:13:36",1,0,1
2,NULL,T004,INSUMO,NULL,NULL,NULL,0,1,"2015-09-15 09:13:37",1,0,1
3,27,T005.1,"INSUMO PRODUCTO FINAL (NO SE VENDE)",NULL,NULL,NULL,0,1,"2015-09-15 09:13:38",1,0,1
4,33,T003.1,"CUPCAKE SABORES",NULL,NULL,NULL,1,1,"2015-09-15 09:13:39",1,0,1
7,NULL,T006,BEBIDAS,NULL,NULL,NULL,0,1,"2015-09-15 09:13:36",1,0,0
8,7,T006.1,"BEBIDAS FRÌAS",NULL,NULL,NULL,1,1,"2015-09-15 09:13:37",1,0,0
9,8,T006.1.1,FRAPPES,NULL,NULL,NULL,0,1,"2015-09-15 09:13:38",1,0,0
10,8,T006.1.2,FROZEN,NULL,NULL,NULL,0,1,"2015-09-15 09:13:39",1,0,0
12,7,T006.2,"BEBIDAS CALIENTES",NULL,NULL,NULL,0,1,"2015-09-15 09:13:41",1,0,0
13,NULL,T007,BROWNIES,NULL,NULL,NULL,0,1,"2015-09-15 09:13:36",1,0,1
14,13,T007.1,"BROWNIES SABORES",NULL,NULL,NULL,0,1,"2015-09-15 09:13:37",1,0,1
18,NULL,T010,TAPITAS,NULL,NULL,NULL,0,1,"2017-05-11 10:30:46",1,0,1
19,18,T010.1,"TAPITAS ESCRITAS",NULL,NULL,NULL,0,1,"2017-05-11 10:32:03",1,1,1
20,18,T010.2,"TAPITAS DE CARITAS",NULL,NULL,NULL,0,1,"2017-05-11 10:32:31",1,0,1
21,18,T010.3,"MUÑECOS EN 3D",NULL,NULL,NULL,0,1,"2017-05-11 10:32:53",1,1,1
24,NULL,T008,"TORTAS NAKED",NULL,NULL,NULL,0,1,"2017-05-11 12:17:08",1,0,1
25,33,T003.2,"CUPCAKES PREMIUM",NULL,NULL,NULL,0,1,"2017-05-11 12:20:41",1,0,1
27,NULL,T005,"INSUMO PRODUCTO FINAL",NULL,NULL,NULL,0,1,"2017-12-13 19:02:27",1,0,1
28,27,T005.2,"INSUMO PRODUCTO FINAL (SE VENDE)",NULL,NULL,NULL,0,1,"2017-12-13 19:03:32",1,0,1
29,NULL,T013,RECETA,NULL,NULL,NULL,0,1,"2018-01-12 12:25:50",1,0,1
33,NULL,T003,CUPCAKES,NULL,NULL,NULL,0,1,"2018-02-02 23:52:07",9,1,1
34,37,T012.1,PELUCHES,NULL,NULL,NULL,0,1,"2018-02-08 13:20:34",9,0,1
35,NULL,T009,GALLETAS,NULL,NULL,NULL,0,1,"2018-02-17 19:23:35",9,0,1
36,NULL,T011,AGREGADOS,NULL,NULL,NULL,0,1,"2018-02-17 19:24:18",9,0,1
37,NULL,T012,ADICIONALES,NULL,NULL,NULL,0,1,"2018-02-17 19:24:41",9,0,1
39,37,T012.2,GLOBOS,NULL,NULL,NULL,0,1,"2018-02-17 19:25:24",9,0,1
44,33,T003.4,"Cupcakes Rosita",NULL,NULL,NULL,0,1,"2018-05-07 13:31:13",9,0,1
