id,bien_id,unidad_medida_id,tipo,estado,fecha_creacion,usuario_creacion
4137,-1,-1,3,1,"2017-06-28 08:32:18",1
4138,1,26,3,1,"2017-06-28 08:32:18",1
4139,1,42,3,1,"2017-06-28 08:32:18",1
4140,2,42,3,1,"2017-06-28 08:32:18",1
4141,2,26,3,1,"2017-06-28 08:32:18",1
4142,3,42,3,1,"2017-06-28 08:32:18",1
4143,4,26,3,1,"2017-06-28 08:32:18",1
4144,4,41,3,1,"2017-06-28 08:32:18",1
4145,4,42,3,1,"2017-06-28 08:32:18",1
4146,5,26,3,1,"2017-06-28 08:32:18",1
4147,6,23,3,1,"2017-06-28 08:32:18",1
4148,7,23,3,1,"2017-06-28 08:32:18",1
4149,8,23,3,1,"2017-06-28 08:32:18",1
4150,9,24,3,1,"2017-06-28 08:32:18",1
4151,9,9,3,1,"2017-06-28 08:32:18",1
4152,9,26,3,1,"2017-06-28 08:32:18",1
4153,10,3,3,1,"2017-06-28 08:32:18",1
4154,10,-1,3,1,"2017-06-28 08:32:18",1
4155,11,3,3,1,"2017-06-28 08:32:18",1
4156,11,-1,3,1,"2017-06-28 08:32:18",1
4157,12,26,3,1,"2017-06-28 08:32:18",1
4158,12,44,3,1,"2017-06-28 08:32:18",1
4159,13,26,3,1,"2017-06-28 08:32:18",1
4160,13,44,3,1,"2017-06-28 08:32:18",1
4161,14,26,3,1,"2017-06-28 08:32:18",1
4162,14,12,3,1,"2017-06-28 08:32:18",1
4163,15,26,3,1,"2017-06-28 08:32:18",1
4164,16,26,3,1,"2017-06-28 08:32:18",1
4165,17,30,3,1,"2017-06-28 08:32:18",1
4166,17,25,3,1,"2017-06-28 08:32:18",1
4167,18,14,3,1,"2017-06-28 08:32:18",1
4168,19,-1,3,1,"2017-06-28 08:32:18",1
4169,20,35,3,1,"2017-06-28 08:32:18",1
4170,21,6,3,1,"2017-06-28 08:32:18",1
4171,22,26,3,1,"2017-06-28 08:32:18",1
4172,23,36,3,1,"2017-06-28 08:32:18",1
4173,23,26,3,1,"2017-06-28 08:32:18",1
4174,24,-1,3,1,"2017-06-28 08:32:18",1
4175,25,10,3,1,"2017-06-28 08:32:18",1
4176,26,30,3,1,"2017-06-28 08:32:18",1
4177,27,32,3,1,"2017-06-28 08:32:18",1
4178,27,32,3,1,"2017-06-28 08:32:18",1
4179,28,-1,3,1,"2017-06-28 08:32:18",1
