id,documento_id,documento_relacionado_id,indicador,estado,fecha_creacion,usuario_creacion
89,5,8,1,1,"2017-12-27 16:48:03",7
90,11,12,1,1,"2017-12-27 19:07:39",8
91,17,16,1,1,"2017-12-27 19:50:31",8
92,21,16,1,1,"2017-12-27 19:57:38",8
93,17,20,1,1,"2017-12-27 19:57:38",8
94,17,21,1,1,"2017-12-27 19:57:38",8
95,34,33,1,1,"2018-01-05 11:44:39",10
96,53,52,1,1,"2018-01-10 11:16:16",12
97,57,56,1,1,"2018-01-10 11:29:27",12
98,61,62,1,1,"2018-01-10 11:55:57",12
99,68,67,1,1,"2018-01-10 17:56:56",11
100,70,71,1,1,"2018-01-10 18:25:19",11
101,76,77,1,1,"2018-01-10 20:48:40",11
102,84,83,1,1,"2018-01-11 12:10:01",12
103,87,86,1,1,"2018-01-11 12:23:10",12
104,90,91,1,1,"2018-01-11 12:30:25",12
105,92,93,1,1,"2018-01-11 13:13:06",12
106,94,95,1,1,"2018-01-11 14:02:16",12
107,97,98,1,1,"2018-01-11 14:02:29",12
108,100,101,1,1,"2018-01-11 14:02:42",12
109,103,104,1,1,"2018-01-11 14:03:38",12
110,112,111,1,1,"2018-01-11 19:31:10",11
111,118,117,1,1,"2018-01-11 21:33:57",11
112,120,121,1,1,"2018-01-11 21:47:00",11
113,123,124,1,1,"2018-01-11 21:47:43",11
114,126,127,1,1,"2018-01-11 21:48:25",11
115,129,130,1,1,"2018-01-11 21:48:56",11
116,136,135,1,1,"2018-01-12 11:52:02",9
117,138,137,1,1,"2018-01-12 11:53:57",9
118,141,140,1,1,"2018-01-12 12:28:22",12
119,143,142,1,1,"2018-01-12 12:28:57",12
120,144,145,1,1,"2018-01-12 12:30:11",12
121,146,147,1,1,"2018-01-12 13:04:12",12
122,148,149,1,1,"2018-01-12 13:59:23",12
123,151,152,1,1,"2018-01-12 13:59:42",12
124,154,155,1,1,"2018-01-12 14:00:45",12
125,157,158,1,1,"2018-01-12 14:01:38",12
126,160,161,1,1,"2018-01-12 14:02:01",12
127,163,164,1,1,"2018-01-12 14:03:06",12
128,170,171,1,1,"2018-01-12 17:22:39",11
129,172,173,1,1,"2018-01-12 17:56:54",11
130,174,175,1,1,"2018-01-12 18:13:58",11
131,179,180,1,1,"2018-01-12 19:38:27",11
132,181,182,1,1,"2018-01-12 21:36:21",11
133,187,186,1,1,"2018-01-13 10:18:27",12
134,190,191,1,1,"2018-01-13 14:59:43",11
135,193,194,1,1,"2018-01-13 16:48:13",11
136,199,200,1,1,"2018-01-13 18:24:24",11
137,201,202,1,1,"2018-01-13 18:25:44",11
138,203,204,1,1,"2018-01-13 21:06:45",11
139,207,208,1,1,"2018-01-15 13:12:21",12
140,209,210,1,1,"2018-01-15 13:13:19",12
141,211,213,1,1,"2018-01-15 13:15:37",12
142,214,215,1,1,"2018-01-15 13:20:20",12
143,219,220,1,1,"2018-01-15 15:23:24",11
144,223,225,1,1,"2018-01-15 16:46:50",11
145,226,227,1,1,"2018-01-15 17:18:03",11
146,228,229,1,1,"2018-01-15 17:39:22",11
147,230,231,1,1,"2018-01-15 17:52:57",11
148,232,233,1,1,"2018-01-15 18:26:53",11
