id,movimiento_bien_id,nombre_generado,nombre_archivo,comentario,bien_id,cantidad,promocion_detalle_id,precio,es_opcional,estado,fecha_creacion,usuario_creacion
231,24,NULL,NULL,NULL,268,1.00,174,0.000000,0,1,"2017-12-27 19:50:31",8
232,24,NULL,NULL,NULL,65,1.00,175,0.000000,0,1,"2017-12-27 19:50:31",8
233,24,NULL,NULL,NULL,225,1.00,176,0.000000,0,1,"2017-12-27 19:50:31",8
234,24,NULL,NULL,NULL,225,1.00,176,0.000000,0,1,"2017-12-27 19:50:31",8
235,24,NULL,NULL,NULL,226,1.00,176,0.000000,0,1,"2017-12-27 19:50:31",8
236,24,NULL,NULL,NULL,228,1.00,176,0.000000,0,1,"2017-12-27 19:50:31",8
237,24,NULL,NULL,NULL,236,2.00,NULL,5.000000,1,1,"2017-12-27 19:50:31",8
242,24,NULL,NULL,l,71,1.00,NULL,0.000000,0,1,"2017-12-27 19:57:38",8
243,24,NULL,NULL,O,71,1.00,NULL,0.000000,0,1,"2017-12-27 19:57:38",8
244,24,NULL,NULL,V,71,1.00,NULL,0.000000,0,1,"2017-12-27 19:57:38",8
245,24,NULL,NULL,E,71,1.00,NULL,0.000000,0,1,"2017-12-27 19:57:38",8
246,53,NULL,NULL,"2 chanchos besandose",NULL,1.00,NULL,0.000000,0,1,"2018-01-05 11:44:39",10
247,53,NULL,NULL,goku,NULL,1.00,NULL,0.000000,0,1,"2018-01-05 11:44:39",10
248,53,NULL,NULL,gfdg,NULL,1.00,NULL,0.000000,0,1,"2018-01-05 11:44:39",10
249,53,NULL,NULL,dfasf,NULL,1.00,NULL,0.000000,0,1,"2018-01-05 11:44:39",10
250,53,NULL,NULL,NULL,268,1.00,174,0.000000,0,1,"2018-01-05 11:44:39",10
251,53,NULL,NULL,NULL,65,1.00,175,0.000000,0,1,"2018-01-05 11:44:39",10
252,53,NULL,NULL,NULL,226,1.00,176,0.000000,0,1,"2018-01-05 11:44:39",10
253,53,NULL,NULL,NULL,226,1.00,176,0.000000,0,1,"2018-01-05 11:44:39",10
254,53,NULL,NULL,NULL,227,1.00,176,0.000000,0,1,"2018-01-05 11:44:39",10
255,53,NULL,NULL,NULL,226,1.00,176,0.000000,0,1,"2018-01-05 11:44:39",10
256,53,NULL,NULL,NULL,NULL,1.00,178,0.000000,0,1,"2018-01-05 11:44:39",10
257,53,NULL,NULL,NULL,NULL,1.00,178,0.000000,0,1,"2018-01-05 11:44:39",10
258,53,NULL,NULL,NULL,238,1.00,NULL,5.000000,1,1,"2018-01-05 11:44:39",10
259,126,NULL,NULL,,NULL,1.00,NULL,0.000000,0,1,"2018-01-10 11:16:16",12
260,126,NULL,NULL,,NULL,1.00,NULL,0.000000,0,1,"2018-01-10 11:16:16",12
261,126,NULL,NULL,,NULL,1.00,NULL,0.000000,0,1,"2018-01-10 11:16:16",12
262,126,NULL,NULL,,NULL,1.00,NULL,0.000000,0,1,"2018-01-10 11:16:16",12
263,126,NULL,NULL,NULL,268,1.00,174,0.000000,0,1,"2018-01-10 11:16:16",12
264,126,NULL,NULL,NULL,65,1.00,175,0.000000,0,1,"2018-01-10 11:16:16",12
265,126,NULL,NULL,NULL,301,1.00,178,0.000000,0,1,"2018-01-10 11:16:16",12
266,126,NULL,NULL,NULL,301,1.00,178,0.000000,0,1,"2018-01-10 11:16:16",12
267,191,19120180110175656011.jpeg,"WhatsApp Image 2018-01-10 at 16.56.17.jpeg","León 3d",NULL,1.00,NULL,0.000000,0,1,"2018-01-10 17:56:56",11
268,191,19120180110175656111.jpeg,"WhatsApp Image 2018-01-10 at 16.56.49.jpeg","TE AMO",NULL,1.00,NULL,0.000000,0,1,"2018-01-10 17:56:56",11
269,191,NULL,NULL,"Leona 3d",NULL,1.00,NULL,0.000000,0,1,"2018-01-10 17:56:56",11
